log_diff,betta,mu,Io
1.312631010286701740e-02,2.019986240754037821e-01,8.193781578929797138e-02,9.690853682155741567e-06
2.206300266510704405e-02,2.027864970830283442e-01,8.260203388124018331e-02,9.496022969454953258e-06
2.703692460305318415e-02,2.014114419264433076e-01,8.168416075247630914e-02,9.969926041490769148e-06
3.047166228654126299e-02,1.959960913355889012e-01,7.612772412931236021e-02,1.067606865608515133e-05
3.073780324163240957e-02,2.031784768624723125e-01,8.290207906856394970e-02,9.366079584242311188e-06
3.098626564879518666e-02,1.983091122246809501e-01,7.865222685223031973e-02,1.052437626694610580e-05
3.147361836443865468e-02,1.937000259137828251e-01,7.337642902533891842e-02,1.073080183229926151e-05
3.126983400056328882e-02,1.976895335356462224e-01,7.798618689890128575e-02,1.052550271914078077e-05
3.162115244108302387e-02,1.980578689921373148e-01,7.840721365434653867e-02,1.051993668622572174e-05
3.106425502555908505e-02,1.984119304131859440e-01,7.878628569136636450e-02,1.049971867585178958e-05
3.077732671403196965e-02,1.971016161576776560e-01,7.668054411743249754e-02,1.010946035449853767e-05
3.152296396933738920e-02,2.042063321346122007e-01,8.409492800456994099e-02,9.351195093507815124e-06
3.166370230648854478e-02,1.961510732875509644e-01,7.594828108577805770e-02,1.038827789979326976e-05
3.201773575474037986e-02,1.969904555568868787e-01,7.692614743922723819e-02,1.034679845502959087e-05
3.308666934505446328e-02,1.960918526808202167e-01,7.621472475148188819e-02,1.063472601618238434e-05
3.336624303698632055e-02,2.003298400725260775e-01,8.032164321073138880e-02,9.999573109950773004e-06
3.266569475241939968e-02,1.965359134345508185e-01,7.602488138051781419e-02,1.018069506001545419e-05
3.297314454674398626e-02,1.956679637978008257e-01,7.499842765399011846e-02,1.019044948971088271e-05
3.269069793210902658e-02,1.956279099566904656e-01,7.520139487310391335e-02,1.032880341416606504e-05
3.247193015847417430e-02,1.939723919649012640e-01,7.336408243279021746e-02,1.048701303659811028e-05
3.179799799484580441e-02,1.990891170894023565e-01,7.885311130642586042e-02,9.920915598869327066e-06
3.179310072254585423e-02,1.939588550302024095e-01,7.370750255166505505e-02,1.073310092152415081e-05
3.291521329480456837e-02,2.001325916105384239e-01,8.004019514721004425e-02,9.867619237078566102e-06
3.341798901291131302e-02,2.006658411644398898e-01,8.023735951623629792e-02,9.602886873098499896e-06
3.407323502659386633e-02,2.012884296584356858e-01,8.129529160065383786e-02,9.883013786347900892e-06
3.440191005486309406e-02,2.058300167773073619e-01,8.579302624126174115e-02,9.233046275157675808e-06
3.434380397592163431e-02,1.966490607652938427e-01,7.686495652414455926e-02,1.061372816770604169e-05
3.398964105257086532e-02,2.039958137589537035e-01,8.366536036663711762e-02,9.244534321952836310e-06
3.392647242145395425e-02,1.995427542867231341e-01,7.992485262592520512e-02,1.037232549067964454e-05
3.383499109278130523e-02,2.024335894158061089e-01,8.222374691941987390e-02,9.488877078239552748e-06
