log_diff,betta,mu,Io,To
2.453858822368743808e-01,1.788216687958424922e-01,5.754219495548135166e-02,1.319547866097534426e-05,0.000000000000000000e+00
2.024612211961510089e-01,2.040474498449595386e-01,8.642105866147434257e-02,8.831431633425437257e-06,-2.000000000000000000e+00
2.027938332532815691e-01,1.805005179461231790e-01,5.571317962477603802e-02,9.801810461947678724e-06,-1.000000000000000000e+00
2.434305513848198654e-01,2.276545172591732946e-01,1.038750524149179011e-01,3.159931093044708987e-06,-5.000000000000000000e+00
2.360063062383393473e-01,1.878746074379822051e-01,7.014731661036922861e-02,1.599697057322173479e-05,1.000000000000000000e+00
2.098811375623969300e-01,1.816912082804355288e-01,6.059243728921621941e-02,7.500728853929188771e-06,-5.000000000000000000e+00
2.459424478019985039e-01,1.779295232517515146e-01,5.701049969463131695e-02,1.271817749995703824e-05,-1.000000000000000000e+00
2.061432632876368520e-01,1.808626191387997517e-01,5.928092778838570109e-02,1.631537168307877362e-05,2.000000000000000000e+00
2.510623395917417899e-01,1.967283759719926639e-01,7.989119637946615060e-02,1.318726999043762774e-05,0.000000000000000000e+00
2.109110743899279272e-01,1.804996158406864393e-01,5.033707965244225979e-02,1.044501469439396359e-05,2.000000000000000000e+00
2.476593339094834423e-01,2.036336507833272358e-01,8.657911550628838437e-02,1.308049033410408112e-05,1.000000000000000000e+00
2.340875482887419534e-01,1.944798729709039664e-01,7.740332514957537491e-02,9.356519239164036534e-06,-3.000000000000000000e+00
2.301975184210146297e-01,2.248028928180184627e-01,1.016405122040131837e-01,7.627791287216446878e-06,2.000000000000000000e+00
2.354356994638150402e-01,1.868078685319822241e-01,6.026249408267030094e-02,6.655970136651572022e-06,-2.000000000000000000e+00
2.102666324680349530e-01,1.933359288879764881e-01,6.950646734868520804e-02,8.518188167501708613e-06,0.000000000000000000e+00
2.443125890055847238e-01,1.781128199004399226e-01,5.526426816015313909e-02,1.168116975563719382e-05,-1.000000000000000000e+00
2.021632275066565787e-01,1.843002596797020942e-01,6.474097214211610440e-02,7.821625817834035809e-06,-5.000000000000000000e+00
1.992814264682245540e-01,1.796417574686631213e-01,5.306387064555587868e-02,1.148287250943987343e-05,1.000000000000000000e+00
2.491579793442806334e-01,1.869522827930099051e-01,6.202174681756011249e-02,8.811435482462600053e-06,0.000000000000000000e+00
2.328037039399926122e-01,1.821391657366320527e-01,5.741186150272524491e-02,1.264443618938548332e-05,2.000000000000000000e+00
2.295947006206388030e-01,2.303626424274177464e-01,1.090737759870675783e-01,7.324159087121503101e-06,1.000000000000000000e+00
2.307126096354915334e-01,2.229100857182533257e-01,1.026387078027738986e-01,6.596376422774317162e-06,-1.000000000000000000e+00
1.952718504075489081e-01,1.928266844758604326e-01,7.546523515728764675e-02,7.615047901636020895e-06,-5.000000000000000000e+00
2.489916843949593062e-01,2.389835880073437613e-01,1.150469707278969633e-01,3.479432057252319911e-06,-3.000000000000000000e+00
2.512269592590787304e-01,1.793508588115439450e-01,4.676666730024241214e-02,8.249551815919852353e-06,1.000000000000000000e+00
2.670570182574986129e-01,2.157369248229270009e-01,9.332482157865452932e-02,5.092445427401697200e-06,-3.000000000000000000e+00
2.611067241862222166e-01,1.796216679429638585e-01,5.956130357850368540e-02,1.783462833953332316e-05,2.000000000000000000e+00
2.676569943337511193e-01,1.821582575338943355e-01,4.406989671123879432e-02,4.638032056176745840e-06,-1.000000000000000000e+00
2.682234662085037358e-01,2.224535818140223886e-01,9.865032558641376181e-02,5.284716582342554311e-06,-1.000000000000000000e+00
2.664638191126536548e-01,2.011666474536237537e-01,7.969019445121203193e-02,8.511955856055621210e-06,0.000000000000000000e+00
2.523009656901827324e-01,1.826374804352709491e-01,4.888593772183291719e-02,3.461036442326158756e-06,-5.000000000000000000e+00
2.654049065538948149e-01,2.102694435881455326e-01,9.002818885494764944e-02,7.188770215039926329e-06,-2.000000000000000000e+00
2.526096114888794486e-01,2.078750132529425532e-01,8.547279679306293843e-02,8.752516582176136123e-06,1.000000000000000000e+00
2.588613747717357638e-01,1.777141557882526701e-01,5.631820777728839544e-02,1.524065179850749417e-05,1.000000000000000000e+00
2.558636481654099071e-01,2.052501289362984316e-01,8.657175533719932425e-02,9.526194637355530517e-06,-1.000000000000000000e+00
2.512914681854964694e-01,1.844194040384208866e-01,5.817194275506505641e-02,6.461122752327314931e-06,-3.000000000000000000e+00
2.650169425005276524e-01,1.969850038133433290e-01,7.988684641792043184e-02,9.960678075730116531e-06,-2.000000000000000000e+00
2.584468645256434716e-01,1.973393118220783116e-01,8.071935019674865430e-02,9.610069874406947972e-06,-3.000000000000000000e+00
2.581921550351845562e-01,1.855160971744473641e-01,6.192970724647055281e-02,6.130255440858162668e-06,-4.000000000000000000e+00
2.582257089449405130e-01,2.323094741752520509e-01,1.132464399223437890e-01,4.226708832486528498e-06,-5.000000000000000000e+00
2.692780601392247841e-01,1.866334993889755267e-01,5.568674478982138520e-02,3.956512432549536696e-06,-4.000000000000000000e+00
2.685575010090278658e-01,1.909054931465005156e-01,7.421143191718994336e-02,1.168591704563419400e-05,-2.000000000000000000e+00
2.711795817334476388e-01,2.204292689119641269e-01,9.779578798399377049e-02,4.254319492259073555e-06,-4.000000000000000000e+00
2.713505154953290144e-01,1.777594156264315217e-01,4.531292118134860880e-02,5.365648192482876794e-06,-3.000000000000000000e+00
2.748333661615216528e-01,2.323940642606118767e-01,1.112866966476642183e-01,5.372165489194372525e-06,-2.000000000000000000e+00
2.718582971317844987e-01,2.193850789477677921e-01,1.005583570186089626e-01,9.518279038289960951e-06,1.000000000000000000e+00
2.733183812683379621e-01,2.377027990736480523e-01,1.163005886328652427e-01,4.772151723933494811e-06,-2.000000000000000000e+00
2.749140804142045091e-01,2.139496775708264464e-01,9.046740375196919703e-02,5.914344269191835843e-06,-1.000000000000000000e+00
