log_diff,betta,mu,Io,To
2.988784150812604304e-02,1.976351589546157528e-01,7.745769380845506091e-02,1.142224403714985968e-05,1.000000000000000000e+00
3.073164049930611139e-02,2.003188828208933292e-01,8.022717198400647343e-02,8.873055303903488515e-06,-1.000000000000000000e+00
3.982342022052402092e-02,1.911297282900815131e-01,6.932200026040008511e-02,5.742261174169816593e-06,-5.000000000000000000e+00
4.250182584950001202e-02,1.946011471295525097e-01,7.456154667870602826e-02,9.583561531469952862e-06,-1.000000000000000000e+00
3.502420979776434823e-02,1.954467040125220656e-01,7.537745056480182892e-02,1.068227144482889496e-05,0.000000000000000000e+00
4.842096344898886434e-02,1.942308084761445175e-01,7.320498261663002659e-02,6.478243467853372456e-06,-4.000000000000000000e+00
4.529747545880124376e-02,2.040526869491445516e-01,8.470576251073015650e-02,7.079746716447060399e-06,-3.000000000000000000e+00
4.510390782358948691e-02,1.956221001303065088e-01,7.541710805935059048e-02,9.440917908172227055e-06,-1.000000000000000000e+00
3.054038289600449416e-02,2.014387591964642288e-01,8.192211821186404230e-02,6.443728369066780630e-06,-4.000000000000000000e+00
2.788961409185303567e-02,2.007178954620746636e-01,8.109109300721600855e-02,9.088801252773900976e-06,-1.000000000000000000e+00
4.344299906983351001e-02,1.956622475515016335e-01,7.601718892066300359e-02,6.930675892747990854e-06,-4.000000000000000000e+00
4.413278433209267410e-02,2.011363936893179882e-01,8.136495374199573249e-02,5.642184332015667860e-06,-5.000000000000000000e+00
3.748600116361625739e-02,2.012483697854307862e-01,8.089085947043278546e-02,1.074148155940886461e-05,1.000000000000000000e+00
4.821300405362541341e-02,1.934561181345048619e-01,7.368157290067504916e-02,7.978640902282742639e-06,-3.000000000000000000e+00
4.650270924534403993e-02,1.862393746850212750e-01,6.355941964823724755e-02,6.684977590526713643e-06,-4.000000000000000000e+00
3.752707128521849678e-02,1.995370756273809054e-01,8.010390927354418822e-02,5.953927081627722728e-06,-5.000000000000000000e+00
1.870500346188591970e-02,2.008280819609901402e-01,8.089605162841884134e-02,1.113970877876629601e-05,1.000000000000000000e+00
4.511929372475306788e-02,1.872531945187159708e-01,6.531840781181318112e-02,6.891355369662808348e-06,-4.000000000000000000e+00
4.021911492423415474e-02,1.978880965636214129e-01,7.731489331476232296e-02,9.888103249782429388e-06,0.000000000000000000e+00
3.213093488453561131e-02,1.985502515233261434e-01,7.836342980140625913e-02,1.002996501883461253e-05,0.000000000000000000e+00
3.045297358849922628e-02,2.055546398681263320e-01,8.552204647928224324e-02,8.290557576810914754e-06,-1.000000000000000000e+00
3.886674420182602285e-02,2.025413859376112014e-01,8.303918937891910379e-02,8.950246424179129822e-06,-1.000000000000000000e+00
2.539409351976789839e-02,1.964993280479227222e-01,7.615935519419045341e-02,8.214660047126748222e-06,-2.000000000000000000e+00
3.490624264083209971e-02,2.010795965936824359e-01,8.094896801045418921e-02,8.670598338328807335e-06,-1.000000000000000000e+00
4.578282962312672094e-02,1.942527139790546920e-01,7.428385052026094393e-02,8.752779651783814069e-06,-2.000000000000000000e+00
3.114064850679047064e-02,2.048900530230648998e-01,8.496856599481805716e-02,7.541928259277453974e-06,-2.000000000000000000e+00
4.852422177090036370e-02,1.874223706457744665e-01,6.612080923912543040e-02,7.092294696929571309e-06,-4.000000000000000000e+00
3.915137107668507921e-02,1.903057884215648421e-01,6.910589775039904792e-02,9.592745420244222981e-06,-1.000000000000000000e+00
4.588936727325051979e-02,1.926481189796827309e-01,7.181424857917603766e-02,7.469874820932019972e-06,-3.000000000000000000e+00
2.363180855269766262e-02,2.008169845810490739e-01,8.110206890676949221e-02,1.006897526254062462e-05,0.000000000000000000e+00
2.068439307731961829e-02,1.970714222788275960e-01,7.665230971178076114e-02,6.424232587734558819e-06,-4.000000000000000000e+00
4.466485046230728867e-02,2.062574754566758317e-01,8.613643716940949657e-02,1.021295557158659506e-05,1.000000000000000000e+00
4.992942915401024639e-02,1.909805152100337300e-01,6.939415391320216675e-02,6.582805822458227930e-06,-4.000000000000000000e+00
3.175064925663456661e-02,1.981347216090964258e-01,7.850028023216605588e-02,7.494537045969862474e-06,-3.000000000000000000e+00
3.270862575214242285e-02,1.979789139894648498e-01,7.760930086432250852e-02,1.125215810760017303e-05,1.000000000000000000e+00
4.934737003502605301e-02,1.901599590684870944e-01,6.826366487365204128e-02,7.321936993058220791e-06,-3.000000000000000000e+00
4.326464190840818846e-02,2.011369730736936590e-01,8.065052197048072635e-02,9.544401159125858207e-06,0.000000000000000000e+00
2.948288624317586815e-02,1.998383949653140812e-01,8.019119358672721631e-02,1.029760790605716962e-05,0.000000000000000000e+00
4.388220079980501009e-02,1.917219095359947723e-01,7.152311661884144800e-02,6.325391984682219997e-06,-5.000000000000000000e+00
4.284625456870484739e-02,1.920678674055494306e-01,7.089987289736492115e-02,1.045511947974221866e-05,0.000000000000000000e+00
5.044927455096481772e-02,2.039533013986601084e-01,8.356145257897810985e-02,1.028138826154349278e-05,1.000000000000000000e+00
4.340269370674865873e-02,2.056494230897931430e-01,8.624828489642671903e-02,6.177744087908611923e-06,-4.000000000000000000e+00
3.539336388425596419e-02,1.915659697582454135e-01,7.107835276960394744e-02,7.012270579648373096e-06,-4.000000000000000000e+00
2.349159237604040232e-02,1.995067236478339501e-01,7.983797822583392489e-02,6.553596437441844486e-06,-4.000000000000000000e+00
4.963494834732693622e-02,1.863043809620277547e-01,6.367527546617811340e-02,7.516262398150856260e-06,-3.000000000000000000e+00
4.639782575724067659e-02,2.028839698911953648e-01,8.228987177385882479e-02,5.854129825161693162e-06,-4.000000000000000000e+00
3.298504472145184080e-02,1.947551989923415605e-01,7.394421996208397352e-02,9.140300558340152425e-06,-1.000000000000000000e+00
2.080668111172465085e-02,1.996837167409700464e-01,7.997906521965801596e-02,5.818672776345839537e-06,-5.000000000000000000e+00
1.039736638679231162e-02,2.024601730141910860e-01,8.258382662239074912e-02,7.776680500949384602e-06,-2.000000000000000000e+00
4.334694879940865359e-02,1.885104730073097756e-01,6.635635420727913070e-02,7.403427773415819461e-06,-3.000000000000000000e+00
4.735556974861578755e-02,1.888527462764839071e-01,6.812271293291374819e-02,7.220960245797803899e-06,-4.000000000000000000e+00
2.851881872521511846e-02,1.949029630182296524e-01,7.485755040460795318e-02,8.549404350700463791e-06,-2.000000000000000000e+00
3.873548382286530478e-02,1.962206972985853504e-01,7.649403722623762669e-02,7.639887627509468735e-06,-3.000000000000000000e+00
4.328076559266644946e-02,1.880486865328681034e-01,6.658320182443829005e-02,7.783470727390372397e-06,-3.000000000000000000e+00
4.079621622393472813e-02,2.019004691353820657e-01,8.152064343738785190e-02,1.064033898093942302e-05,1.000000000000000000e+00
3.288646795793127159e-02,2.046760271410435206e-01,8.495255490489220240e-02,9.558779353372509662e-06,0.000000000000000000e+00
3.819063221594238416e-02,1.999955830813876512e-01,8.053265523440211737e-02,8.286160085074924632e-06,-2.000000000000000000e+00
4.698057390778516418e-02,2.093277121676956620e-01,8.990456410814381960e-02,5.236635547626904608e-06,-5.000000000000000000e+00
3.898675483174605938e-02,1.945113746648710618e-01,7.430697700667938943e-02,1.198009940538490123e-05,1.000000000000000000e+00
4.839302471600431116e-02,2.022131474227272796e-01,8.279817940475550642e-02,8.030240885229688840e-06,-2.000000000000000000e+00
3.079811291163074907e-02,1.989347546172449133e-01,7.934370996172268597e-02,7.447803668076664362e-06,-3.000000000000000000e+00
5.063456062452797307e-02,2.117803228127771165e-01,9.161897440648492097e-02,5.430220669845908538e-06,-4.000000000000000000e+00
